evaluator,p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
urm,balanced,Fair,"alpha=0.5,eps=0.01",1.4108634385489824e-05,-0.0008913129357855758,-8.285522460938226e-05
urm,balanced,Fair,"alpha=0.5,eps=0.02",2.8217276864856207e-05,-0.0017826262552892976,0.0024419784545899135
urm,balanced,Fair,"alpha=0.5,eps=0.05",7.054318771016254e-05,-0.004456565340760537,0.00402309417724612
urm,balanced,Fair,"alpha=0.5,eps=0.1",0.00014108637925758696,-0.008913131062446351,0.003999214172363339
urm,balanced,Fair,"alpha=1.0,eps=0.01",7.125185672306974e-06,-0.00045265636419565785,0.003236999511718769
urm,balanced,Fair,"alpha=1.0,eps=0.02",1.425037396967203e-05,-0.0009053127790744035,-8.285522460938226e-05
urm,balanced,Fair,"alpha=1.0,eps=0.05",3.562593491825623e-05,-0.0022632819396876318,0.0024419784545899135
urm,balanced,Fair,"alpha=1.0,eps=0.1",7.125187358588287e-05,-0.004526564139737823,0.00402309417724612
urm,balanced,Fair,"alpha=2.0,eps=0.01",3.5800426897776196e-06,-0.00022807029259921268,0.003236999511718769
urm,balanced,Fair,"alpha=2.0,eps=0.02",7.1600853444600715e-06,-0.0004561405844476063,0.003236999511718769
urm,balanced,Fair,"alpha=2.0,eps=0.05",1.7900213307939286e-05,-0.0011403514587175908,-8.285522460938226e-05
urm,balanced,Fair,"alpha=2.0,eps=0.1",3.580042686942701e-05,-0.002280702939562238,0.0024419784545899135
urm,dominant_helpfulness,Avg,rho=0.0,0.18275041504236192,-0.1294396594089945,0.016782748699188263
urm,dominant_helpfulness,Avg,rho=0.1,0.18275041504236164,-0.12943965940899432,0.016782748699188263
urm,dominant_helpfulness,Avg,rho=0.2,0.1827504150423619,-0.1294396594089945,0.016782748699188263
urm,dominant_helpfulness,Avg,rho=0.5,0.1117756723650227,-0.08718170005441661,0.023042833805084213
urm,dominant_helpfulness,MaxMin,c=0.0,0.10751709266459886,-0.09220892767529637,0.015706786513328547
urm,dominant_helpfulness,MaxMin,c=0.1,0.10271559955000191,-0.07041555225314942,0.013822877407073997
urm,dominant_helpfulness,MaxMin,c=0.25,0.0832290328897618,-0.05316256600573972,0.02240778207778933
urm,dominant_helpfulness,MaxMin,c=0.5,0.05452640055274079,-0.03482875227301945,0.003217923641204809
urm,dominant_helpfulness,MaxMin,c=0.75,0.027117985631547995,-0.01732162024505784,0.00993460416793824
urm,dominant_helpfulness,MaxMin,c=0.9,0.010828203497321455,-0.0069165177482286505,0.005334651470184325
urm,dominant_helpfulness,MaxMin,c=0.95,0.005411615367395858,-0.003456670697446897,0.003640067577362044
urm,dominant_helpfulness,Fair,"alpha=0.0,eps=0.01",0.015655571042371422,-0.010000000000000009,0.001768434047698976
urm,dominant_helpfulness,Fair,"alpha=0.0,eps=0.02",0.03131114208474293,-0.019999999999999993,0.002110898494720445
urm,dominant_helpfulness,Fair,"alpha=0.0,eps=0.05",0.0782778552118572,-0.05000000000000002,0.030798685550689722
urm,dominant_helpfulness,Fair,"alpha=0.0,eps=0.1",0.15655571042371436,-0.10000000000000002,0.029489266872406023
urm,dominant_helpfulness,Fair,"alpha=0.5,eps=0.01",0.00020525586931321145,-0.0008913129357855754,0.0011991024017334248
urm,dominant_helpfulness,Fair,"alpha=0.5,eps=0.02",0.0004105118777101269,-0.0017826262116739367,0.001506757736206045
urm,dominant_helpfulness,Fair,"alpha=0.5,eps=0.05",0.0010262796999407245,-0.004456565340760551,0.004595458507537863
urm,dominant_helpfulness,Fair,"alpha=0.5,eps=0.1",0.0020525593786091287,-0.008913131062446351,0.0008353114128112904
urm,dominant_helpfulness,Fair,"alpha=1.0,eps=0.01",0.00010278890130790894,-0.0004526563087064838,8.864402770999286e-05
urm,dominant_helpfulness,Fair,"alpha=1.0,eps=0.02",0.00020557777083076277,-0.0009053127460339175,0.0011991024017334248
urm,dominant_helpfulness,Fair,"alpha=1.0,eps=0.05",0.0005139444935148175,-0.0022632819323109656,0.0025783061981201547
urm,dominant_helpfulness,Fair,"alpha=1.0,eps=0.1",0.0010278889416029835,-0.004526564139737824,0.004747664928436299
urm,dominant_helpfulness,Fair,"alpha=2.0,eps=0.01",5.142884564621853e-05,-0.0002280702844532841,0.0
urm,dominant_helpfulness,Fair,"alpha=2.0,eps=0.02",0.00010285768827602078,-0.00045614058324638804,8.864402770999286e-05
urm,dominant_helpfulness,Fair,"alpha=2.0,eps=0.05",0.00025714409952342016,-0.0011403514663746164,0.0011991024017334248
urm,dominant_helpfulness,Fair,"alpha=2.0,eps=0.1",0.000514288427492968,-0.0022807030494204393,0.0025783061981201547
urm,dominant_correctness,Avg,rho=0.0,0.18269958487578003,-0.12979152432624388,-0.005371928215026772
urm,dominant_correctness,Avg,rho=0.1,0.18269958487577995,-0.12979152432624388,-0.005371928215026772
urm,dominant_correctness,Avg,rho=0.2,0.18269958487578,-0.12979152432624397,-0.005371928215026772
urm,dominant_correctness,Avg,rho=0.5,0.11162318389270698,-0.08739294229741315,-0.01453804969787599
urm,dominant_correctness,MaxMin,c=0.0,0.10744355919939003,-0.09245626368911385,-0.007872778177261161
urm,dominant_correctness,MaxMin,c=0.1,0.10268142239492398,-0.07002022768514357,-0.015068101882934573
urm,dominant_correctness,MaxMin,c=0.25,0.08304424069143869,-0.053199019313195886,-0.014562234282493453
urm,dominant_correctness,MaxMin,c=0.5,0.05445021273220789,-0.03488138243700016,-0.017845791578292722
urm,dominant_correctness,MaxMin,c=0.75,0.027086375348741705,-0.01735181866080628,-0.021275502443313415
urm,dominant_correctness,MaxMin,c=0.9,0.010816392057972551,-0.006929095205159835,-0.0014946788549421858
urm,dominant_correctness,MaxMin,c=0.95,0.005405818160435451,-0.003463024314825137,-0.011115202307700942
urm,dominant_correctness,Fair,"alpha=0.0,eps=0.01",-0.00358610723940713,-0.010000000000000005,0.009024202823638975
urm,dominant_correctness,Fair,"alpha=0.0,eps=0.02",-0.0071722144788142475,-0.019999999999999997,0.010190725326538183
urm,dominant_correctness,Fair,"alpha=0.0,eps=0.05",-0.017930536197035697,-0.05000000000000002,0.006096857786178588
urm,dominant_correctness,Fair,"alpha=0.0,eps=0.1",-0.035861072394071394,-0.10000000000000003,0.0008274793624879657
urm,dominant_correctness,Fair,"alpha=0.5,eps=0.01",0.00019128149581870154,-0.000891312935785575,-0.0002017974853513807
urm,dominant_correctness,Fair,"alpha=0.5,eps=0.02",0.00038256311461136184,-0.0017826262135682924,-0.00039768218994135074
