p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.125, 0.125, 0.125, 0.5]",0.0,0.0,0.5688934326171875,0.5688934326171875,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",MaxMin,c=0.0,OK_EXACT_D0,"[0.0732, 0.0587, 0.0561, 0.0696, 0.7425]",0.2714587625327935,0.24642938244930016,0.5688934326171875,0.5631057739257812,-0.005787658691406294,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",MaxMin,c=0.25,OK,"[0.0758, 0.0786, 0.0838, 0.077, 0.6848]",0.2067353448596148,0.1872572178417182,0.5688934326171875,0.5636886596679688,-0.005204772949218728,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",MaxMin,c=0.5,OK,"[0.0924, 0.0943, 0.0977, 0.0932, 0.6224]",0.13690666331191903,0.12400763349485125,0.5688934326171875,0.5628494262695313,-0.006044006347656228,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",MaxMin,c=0.75,OK,"[0.1087, 0.1097, 0.1114, 0.1091, 0.5611]",0.06830606992078764,0.061870429673040475,0.5688934326171875,0.5661376953125,-0.002755737304687478,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",MaxMin,c=0.9,OK,"[0.1185, 0.1189, 0.1196, 0.1187, 0.5244]",0.027302945867128194,0.02473052532663567,0.5688934326171875,0.5679412841796876,-0.0009521484374999112,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",MaxMin,c=1.0,OK,"[0.125, 0.125, 0.125, 0.125, 0.5]",0.0,0.0,0.5688934326171875,0.5688934326171875,0.0,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=0.0,eps=0.02",OK,"[0.2292, 0.1006, 0.0988, 0.0982, 0.4731]",0.11653812337110377,0.1040030025181402,0.5688934326171875,0.5659698486328125,-0.002923583984374978,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=0.0,eps=0.05",OK,"[0.3855, 0.0641, 0.0596, 0.0581, 0.4326]",0.2913453084277595,0.2600075062953506,0.5688934326171875,0.566424560546875,-0.0024688720703125444,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=0.0,eps=0.1",OK,"[0.6312, 0.0031, 0.0, 0.0, 0.3656]",0.5660819631487733,0.505243666741756,0.5688934326171875,0.56195068359375,-0.0069427490234375,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=1.0,eps=0.02",OK,"[0.1259, 0.1243, 0.1248, 0.1256, 0.4994]",0.0014442341890763802,0.0013015246563265004,0.5688934326171875,0.569427490234375,0.0005340576171875,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=1.0,eps=0.05",OK,"[0.1273, 0.1233, 0.1246, 0.1264, 0.4984]",0.0036105867251237087,0.0032538127719642417,0.5688934326171875,0.569427490234375,0.0005340576171875,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=1.0,eps=0.1",OK,"[0.1296, 0.1216, 0.1242, 0.1278, 0.4968]",0.0072211735287264905,0.006507625614385057,0.5688934326171875,0.56982421875,0.0009307861328125,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=2.0,eps=0.02",OK,"[0.1255, 0.1247, 0.1249, 0.1253, 0.4997]",0.0007207129483673413,0.0006495382913996789,0.5688934326171875,0.5688934326171875,0.0,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=2.0,eps=0.05",OK,"[0.1262, 0.1241, 0.1248, 0.1257, 0.4992]",0.0018017820223163756,0.0016238454199141738,0.5688934326171875,0.569427490234375,0.0005340576171875,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Fair,"alpha=2.0,eps=0.1",OK,"[0.1273, 0.1233, 0.1246, 0.1264, 0.4984]",0.003603564440266109,0.0032476911895387753,0.5688934326171875,0.569427490234375,0.0005340576171875,
only_helpfulness,"[1.0, 0.0, 0.0, 0.0, 0.0]",Avg,rho=0.5,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.545947265625,0.545947265625,0.0,
only_helpfulness,"[1.0, 0.0, 0.0, 0.0, 0.0]",Cert,,FLOOR_COLLAPSED,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.545947265625,0.545947265625,0.0,"certificate: lambda = p, Delta = 0 by construction"
only_helpfulness,"[1.0, 0.0, 0.0, 0.0, 0.0]",MaxMin,c=0.0,INFEASIBLE_BALL_MISSES_SIMPLEX,,,,0.545947265625,,,INFEASIBLE_BALL_MISSES_SIMPLEX
