p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
only_coherence,Fair,"alpha=0.5,eps=0.1",-0.0029638125142434383,-0.0029638125142434383,0.0005859375000000222
only_coherence,Fair,"alpha=1.0,eps=0.01",-0.000148674849326183,-0.000148674849326183,0.0
only_coherence,Fair,"alpha=1.0,eps=0.02",-0.0002973497051342492,-0.00029734970513424914,0.0
only_coherence,Fair,"alpha=1.0,eps=0.05",-0.0007433742495365241,-0.0007433742495365241,-0.0008789062499999778
only_coherence,Fair,"alpha=1.0,eps=0.1",-0.001486749365178183,-0.0014867493651781827,-0.0005859375000000222
only_coherence,Fair,"alpha=2.0,eps=0.01",-7.445672277560047e-05,-7.445672277560047e-05,0.0
only_coherence,Fair,"alpha=2.0,eps=0.02",-0.00014891347307208742,-0.00014891347307208742,0.0
only_coherence,Fair,"alpha=2.0,eps=0.05",-0.0003722836100983077,-0.00037228361009830765,4.882812499995559e-05
only_coherence,Fair,"alpha=2.0,eps=0.1",-0.0007445673499280673,-0.0007445673499280674,-0.0008789062499999778
only_complexity,Fair,"alpha=0.0,eps=0.01",-0.009999999999999953,-0.009999999999999953,-0.0016113281249999778
only_complexity,Fair,"alpha=0.0,eps=0.02",-0.020000000000000018,-0.020000000000000018,-0.0047607421875
only_complexity,Fair,"alpha=0.0,eps=0.05",-0.04999999999999999,-0.04999999999999999,0.0019287109375000222
only_complexity,Fair,"alpha=0.0,eps=0.1",-0.09999999999999998,-0.09999999999999998,-0.0026367187499999334
only_complexity,Fair,"alpha=0.5,eps=0.01",-0.0005710396203558974,-0.0005710396203558974,0.002172851562500022
only_complexity,Fair,"alpha=0.5,eps=0.02",-0.0011420802300516003,-0.0011420802300516003,0.0027343750000000666
only_complexity,Fair,"alpha=0.5,eps=0.05",-0.0028551989653448264,-0.0028551989653448264,0.0031005859375000666
only_complexity,Fair,"alpha=0.5,eps=0.1",-0.005710395725716382,-0.005710395725716382,-0.0018066406250000222
only_complexity,Fair,"alpha=1.0,eps=0.01",-0.0002875280735277323,-0.0002875280735277323,0.0015380859375000444
only_complexity,Fair,"alpha=1.0,eps=0.02",-0.0005750561102069957,-0.0005750561102069957,0.002172851562500022
only_complexity,Fair,"alpha=1.0,eps=0.05",-0.0014376403693920283,-0.0014376403693920283,0.003271484375000022
only_complexity,Fair,"alpha=1.0,eps=0.1",-0.0028752807365999902,-0.0028752807365999907,0.0031005859375000666
only_complexity,Fair,"alpha=2.0,eps=0.01",-0.00014425389000683605,-0.00014425389000683605,0.0015380859375000444
only_complexity,Fair,"alpha=2.0,eps=0.02",-0.0002885077783256028,-0.0002885077783256028,0.0015380859375000444
only_complexity,Fair,"alpha=2.0,eps=0.05",-0.0007212694498452543,-0.0007212694498452543,0.0027343750000000666
only_complexity,Fair,"alpha=2.0,eps=0.1",-0.0014425403216486235,-0.0014425403216486235,0.003271484375000022
only_verbosity,Fair,"alpha=0.0,eps=0.01",-0.009999999999999993,-0.009999999999999993,-0.003759765625000022
only_verbosity,Fair,"alpha=0.0,eps=0.02",-0.019999999999999987,-0.019999999999999987,-0.01123046875
only_verbosity,Fair,"alpha=0.0,eps=0.05",-0.04999999999999997,-0.04999999999999997,-0.0029174804687499556
only_verbosity,Fair,"alpha=0.0,eps=0.1",-0.10000000000000005,-0.10000000000000005,0.0003173828125000444
